"","Outcome_Variable","Risk_Ratio","P_Value","CI_Lower","CI_Upper","Robust_se"
"1","HH Water- RR",0.810756972111554,0.251095901372127,0.566625891943735,1.16007206372554,0.182790337417922
"2","Neighborhood intervention - RR",0.677426470588235,0.0229807058546854,0.484243320042506,0.947677756325789,0.171282402354493
