"","Outcome_Variable","Risk_Ratio","P_Value","CI_Lower","CI_Upper","Robust_se"
"1","Neighborhood intervention - RR",0.678232829177555,0.0227028246512349,0.485648308095358,0.947187013537106,0.170411183065614
"2","HH Water- RR",0.749301360959667,0.103168319176985,0.529550671022787,1.06024325953852,0.17709816185267
